operations, time
1, 0.0000050000
1, 0.0000060000
180, 0.0000310000
480, 0.0000570000
920, 0.0000930000
1413, 0.0002770000
1431, 0.0001330000
1755, 0.0002170000
2261, 0.0002640000
4720, 0.0003710000
4797, 0.0005780000
5240, 0.0004960000
7504, 0.0762060000
9240, 0.0014930000
10488, 0.0007200000
10752, 0.0102870000
11205, 0.0010190000
13674, 0.0010320000
14868, 0.0010360000
15554, 0.0018530000
20034, 0.0016640000
21168, 0.0039110000
22080, 0.0015920000
22890, 0.0022550000
23458, 0.0099670000
24054, 0.0016970000
25040, 0.0341050000
25265, 0.0017590000
25380, 0.0018790000
26488, 0.0060290000
29475, 0.0028670000
29760, 0.0028750000
35360, 0.0021810000
37466, 0.0026510000
43344, 0.0028580000
45540, 0.0036120000
49950, 0.0049480000
61050, 0.0052980000
64824, 0.0053640000
68875, 0.0046220000
73010, 0.0049040000
73413, 0.1569640000
107325, 0.0065980000
107879, 0.0070370000
116025, 0.0079640000
117504, 0.0107560000
119970, 0.0243220000
120540, 0.0088750000
125433, 0.0084320000
129653, 0.0106750000
130340, 0.0099500000
153088, 0.0231140000
153543, 0.0385410000
162740, 0.0227210000
165092, 0.0170370000
172132, 0.0098270000
174590, 0.0100020000
175360, 0.0158330000
182919, 0.0127860000
191452, 0.0115180000
196840, 0.2715750000
198828, 0.0130710000
222856, 0.0231600000
236963, 0.0310880000
239838, 0.0204380000
243691, 0.0397370000
248535, 0.0334300000
248570, 0.0236120000
250776, 0.0580630000
251023, 0.0146910000
262792, 0.0191510000
264067, 0.0178990000
268464, 0.0162530000
275797, 0.0572040000
289279, 0.0206640000
289883, 0.0169020000
294297, 0.0297280000
302316, 0.0499390000
304000, 0.0354950000
317760, 0.0236060000
323854, 0.0338980000
360048, 0.0214990000
361759, 0.0226130000
387984, 0.0356210000
392150, 0.0503590000
393300, 0.0279700000
404820, 0.0299530000
420401, 0.0248460000
434592, 0.0252470000
434880, 0.0298500000
451220, 0.0375680000
482586, 0.0307340000
483617, 0.0441180000
524722, 0.1888730000
536067, 0.0395410000
540141, 0.0466580000
561952, 0.0399030000
587880, 0.0377160000
621920, 0.0450110000
623319, 0.3094020000
634656, 0.0375260000
664176, 0.0382480000
666918, 0.0651460000
690690, 0.0515320000
743904, 0.0587720000
812090, 0.0573330000
828087, 0.3292700000
847590, 0.2354270000
894240, 0.0915200000
918856, 0.0591470000
930952, 0.0826550000
952200, 0.1089550000
1044270, 0.0685680000
1045164, 0.0801960000
1045854, 0.0876320000
1075834, 0.1681890000
1165593, 0.2220720000
1172999, 0.0746880000
1219738, 0.0945570000
1231656, 0.0791700000
1234875, 0.0689330000
1235652, 0.0781930000
1236862, 0.0790780000
1246780, 0.1456310000
1254764, 0.0793350000
1262226, 0.0894380000
1265067, 0.2898480000
1273680, 0.0812120000
1293534, 0.1062360000
1458390, 0.0933890000
1473678, 0.1114740000
1478136, 0.1117970000
1533469, 0.1008120000
1540540, 0.0886760000
1574370, 0.1821810000
1599029, 0.1715290000
1649520, 0.1061240000
1664960, 0.1339040000
1697052, 0.1286830000
1714450, 0.1140710000
1831950, 0.1096400000
1940412, 0.1277030000
2012895, 0.1848000000
2095500, 0.1196520000
2203350, 0.1986060000
2212632, 0.1539110000
2249394, 0.1478260000
2303483, 0.1785230000
2415600, 0.1581490000
2451869, 0.1706180000
2552977, 0.2624490000
2619757, 0.1919570000
2826584, 0.2927300000
2946646, 0.3094200000
2998548, 0.2628430000
3003064, 0.2377160000
3034308, 0.1816490000
3040112, 0.1991690000
3281672, 0.3110900000
3320973, 0.3363530000
3394128, 0.6033950000
3414222, 0.2091610000
3503988, 0.3210460000
3560340, 0.2915320000
3582306, 0.2947640000
3599360, 0.3284380000
3710700, 0.2745950000
3754630, 0.2436920000
3946270, 0.2871810000
3978208, 0.2611960000
4011858, 0.3300840000
4227328, 0.4354350000
4401540, 0.3133390000
4437013, 0.4566250000
4580496, 0.3813000000
4603814, 0.3436290000
4963541, 0.3921310000
5031936, 0.4999670000
5063034, 0.4540970000
5105070, 0.4001950000
5181440, 0.4386830000
5233758, 0.4494020000
5424711, 0.4536980000
5542460, 0.3659380000
5654977, 0.5697170000
6083937, 0.4955880000
6087600, 0.4511670000
6130567, 0.4713060000
6212215, 0.4005330000
6283400, 0.4368230000
6308162, 0.5289510000
6690168, 0.5075870000
6825937, 0.5709290000
7410864, 0.7242540000
7665388, 0.6888070000
8155911, 0.5644080000
9384102, 0.7101870000
10711728, 0.8591300000
11309487, 0.9341280000
11551020, 0.9261660000
